date,rating,sentiment,source,text
2022-01-02,1,Negative,Yelp,A little pricey but the quality is always there. Loved the Beau Travail screening.
2022-01-07,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-01-14,3,Neutral,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-01-19,3,Neutral,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2022-01-20,5,Positive,Google,The gallery spaces are beautifully curated. Ana Mendieta: Traces was my favorite show this year.
2022-01-26,4,Positive,Yelp,The Tauba Auerbach: S v Z exhibition challenged me in the best way. Will be back next month.
2022-01-30,5,Positive,Yelp,The gallery spaces are beautifully curated. Radical Presence: Black Performance in Contemporary Art was my favorite show this year.
2022-02-02,4,Positive,Google,Not my usual style of art but Uncanny Valley: Being Human in the Age of AI really opened my mind. Impressive curation.
2022-02-03,3,Neutral,Google,Not my usual style of art but Radical Presence: Black Performance in Contemporary Art really opened my mind. Impressive curation.
2022-02-04,4,Positive,Google,Not my usual style of art but Uncanny Valley: Being Human in the Age of AI really opened my mind. Impressive curation.
2022-02-05,5,Positive,Google,A little pricey but the quality is always there. Loved the Tropical Malady screening.
2022-02-06,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-02-08,5,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-02-09,4,Positive,Yelp,Great film programming. Caught a rare 35mm screening of First Cow. Pure cinema magic.
2022-02-10,5,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2022-02-12,5,Positive,Yelp,"A little pricey but the quality is always there. Loved the Jeanne Dielman, 23 quai du Commerce screening."
2022-02-18,3,Neutral,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-02-21,3,Neutral,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-02-22,5,Positive,Google,Great film programming. Caught a rare 35mm screening of Tropical Malady. Pure cinema magic.
2022-02-27,4,Positive,Google,Good variety of art and film. Radical Presence: Black Performance in Contemporary Art was a bit dense but rewarding.
2022-02-28,3,Neutral,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2022-03-02,5,Positive,Yelp,The Bay Area Now 9 exhibition challenged me in the best way. Will be back next month.
2022-03-03,4,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-03-05,5,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-03-06,1,Negative,Google,The gallery spaces are beautifully curated. Tauba Auerbach: S v Z was my favorite show this year.
2022-03-06,4,Positive,Google,Great film programming. Caught a rare 35mm screening of Synonyms. Pure cinema magic.
2022-03-06,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-03-06,4,Positive,Google,"Wonderful museum in the heart of Berkeley. The Paper, Scissors, Stone: Contemporary Japanese Prints show was breathtaking."
2022-03-08,2,Negative,Yelp,A little pricey but the quality is always there. Loved the Decision to Leave screening.
2022-03-09,5,Positive,Google,Good variety of art and film. Ana Mendieta: Traces was a bit dense but rewarding.
2022-03-10,5,Positive,Yelp,Good variety of art and film. Uncanny Valley: Being Human in the Age of AI was a bit dense but rewarding.
2022-03-14,1,Negative,Google,One of the best film archives on the West Coast. Yi Yi (A One and a Two) on the big screen was a dream.
2022-03-16,2,Negative,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2022-03-18,5,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-03-18,2,Negative,Yelp,One of the best film archives on the West Coast. Platform (Zhantai) on the big screen was a dream.
2022-03-18,5,Positive,Google,BAMPFA always delivers. Saw Past Lives here — stunning print on the big screen.
2022-03-19,5,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2022-03-20,2,Negative,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-03-22,4,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-03-23,5,Positive,Yelp,Wonderful museum in the heart of Berkeley. The Ant Farm: 1968–1978 show was breathtaking.
2022-03-27,4,Positive,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2022-03-29,4,Positive,Yelp,The Uncanny Valley: Being Human in the Age of AI exhibition challenged me in the best way. Will be back next month.
2022-03-29,2,Negative,Google,BAMPFA always delivers. Saw All of Us Strangers here — stunning print on the big screen.
2022-03-29,2,Negative,Yelp,One of the best film archives on the West Coast. Platform (Zhantai) on the big screen was a dream.
2022-03-31,5,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2022-04-01,5,Positive,Google,The gallery spaces are beautifully curated. Uncanny Valley: Being Human in the Age of AI was my favorite show this year.
2022-04-02,2,Negative,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
