date,sessions,users,page_views,source,exhibition_page_views,film_page_views,membership_page_views,avg_session_duration_seconds
2022-01-01,112,99,384,Organic Search,85,73,47,156
2022-01-01,69,50,218,Social,43,60,19,139
2022-01-01,73,59,246,Direct,61,70,14,159
2022-01-01,41,29,184,Email,38,45,19,235
2022-01-01,25,22,72,Paid,16,14,5,177
2022-01-02,175,155,595,Organic Search,128,107,47,169
2022-01-02,123,105,330,Social,59,60,30,169
2022-01-02,106,92,348,Direct,78,82,22,210
2022-01-02,44,34,110,Email,22,20,14,161
2022-01-02,33,26,115,Paid,16,24,15,157
2022-01-03,97,83,356,Organic Search,84,78,45,205
2022-01-03,64,54,220,Social,42,51,21,145
2022-01-03,66,51,272,Direct,67,76,32,234
2022-01-03,27,22,93,Email,22,22,5,139
2022-01-03,21,15,88,Paid,13,20,9,184
2022-01-04,128,108,467,Organic Search,84,82,48,170
2022-01-04,86,69,366,Social,56,89,50,214
2022-01-04,118,101,386,Direct,69,77,23,174
2022-01-04,37,28,165,Email,38,31,9,131
2022-01-04,25,21,66,Paid,16,14,7,186
2022-01-05,67,59,194,Organic Search,41,37,17,151
2022-01-05,44,35,134,Social,29,35,8,182
2022-01-05,50,37,185,Direct,33,53,10,167
2022-01-05,25,18,103,Email,24,23,6,175
2022-01-05,18,14,58,Paid,9,12,7,131
2022-01-06,111,98,383,Organic Search,81,73,40,179
2022-01-06,69,56,191,Social,39,51,18,177
2022-01-06,81,69,326,Direct,65,89,31,217
2022-01-06,29,21,122,Email,28,33,15,164
2022-01-06,23,19,71,Paid,15,20,3,153
2022-01-07,82,72,310,Organic Search,76,92,25,170
2022-01-07,51,42,217,Social,40,43,12,203
2022-01-07,61,46,185,Direct,47,42,16,243
2022-01-07,23,19,61,Email,9,13,4,174
2022-01-07,19,17,64,Paid,12,13,5,214
2022-01-08,178,132,747,Organic Search,126,177,70,193
2022-01-08,121,107,484,Social,85,101,37,163
2022-01-08,121,105,453,Direct,75,88,31,198
2022-01-08,44,32,184,Email,42,55,24,123
2022-01-08,42,32,113,Paid,20,34,7,140
2022-01-09,141,116,454,Organic Search,79,114,30,177
2022-01-09,73,54,283,Social,70,83,34,203
2022-01-09,112,93,304,Direct,60,79,41,208
2022-01-09,46,40,176,Email,28,46,23,105
2022-01-09,28,22,76,Paid,12,21,6,125
2022-01-10,81,59,207,Organic Search,39,62,28,200
2022-01-10,57,51,211,Social,47,49,13,204
2022-01-10,68,54,237,Direct,44,54,21,94
2022-01-10,28,24,86,Email,15,22,6,167
2022-01-10,23,18,68,Paid,15,16,5,117
2022-01-11,108,80,292,Organic Search,68,80,34,254
2022-01-11,68,49,198,Social,31,53,20,226
2022-01-11,61,50,191,Direct,48,43,16,185
2022-01-11,27,22,82,Email,17,23,9,169
2022-01-11,24,17,93,Paid,18,20,11,149
2022-01-12,119,104,465,Organic Search,85,109,31,141
2022-01-12,69,55,262,Social,56,76,31,100
2022-01-12,86,67,280,Direct,56,60,17,188
2022-01-12,30,26,88,Email,19,20,7,258
2022-01-12,25,19,86,Paid,14,17,8,308
2022-01-13,70,53,268,Organic Search,52,49,16,222
2022-01-13,48,37,191,Social,42,49,17,236
2022-01-13,49,37,202,Direct,39,53,18,239
2022-01-13,22,17,80,Email,15,17,10,186
2022-01-13,15,11,60,Paid,10,17,4,237
2022-01-14,113,100,436,Organic Search,105,87,31,122
2022-01-14,64,54,269,Social,50,50,31,182
2022-01-14,63,54,184,Direct,30,34,24,216
2022-01-14,33,23,115,Email,28,24,10,119
